draw_date,predicted_main_numbers,predicted_powerball
12/31/2025,"2,18,19,27,10,33",3
12/27/2025,"19,23,26,27,2,14",7
12/24/2025,"18,2,33,23,17,25",1
12/20/2025,"17,14,31,2,33,20",5
12/17/2025,"3,23,11,33,26,15",8
12/13/2025,"10,15,22,28,35,38",2
12/10/2025,"2,19,27,26,14,32",4
12/06/2025,"11,18,24,29,34,37",5
12/03/2025,"5,12,21,30,36,39",9
11/29/2025,"8,16,25,31,35,40",6
11/25/2025,"3,13,22,28,33,38",3
11/22/2025,"7,14,23,29,34,39",2
11/18/2025,"2,11,20,27,35,37",10
11/15/2025,"9,18,24,32,36,38",1
11/11/2025,"1,10,19,26,33,40",7
